Format,Players,Name,URL,Date,Status,Organization
Modern,25,ReCQ - Modern - SCG CON Milwaukee - Sunday - 11:00 am,"https://melee.gg/Tournament/View/395233",2026-02-22,Ended,Star City Games
Modern,25,ReCQ - Modern - SCG CON Portland - Sunday - 12:00 pm,"https://melee.gg/Tournament/View/390018",2026-01-25,Ended,Star City Games
Modern,25,ReCQ - Modern - SCG CON Richmond - Saturday - 2:00 pm,"https://melee.gg/Tournament/View/402364",2026-03-07,Ended,Star City Games
Modern,24,3-City Challenge | Destination Qualifier: Modern Challenge #23,"https://melee.gg/Tournament/View/400779",2026-02-21,Ended,SideQuest
Modern,24,6º Torneio - 14ª Liga Arena Guardians ,"https://melee.gg/Tournament/View/400763",2026-02-02,Ended,Arena Guardians Tournaments
Modern,20,2º Black League - Modern,"https://melee.gg/Tournament/View/401376",2026-02-08,Ended,Black League
Modern,19,7º Torneio - 14ª Liga Arena Guardians ,"https://melee.gg/Tournament/View/406575",2026-02-23,Ended,Arena Guardians Tournaments
Modern,16,3-City Challenge | Destination Qualifier: Modern Challenge #24,"https://melee.gg/Tournament/View/400780",2026-02-22,Ended,SideQuest
Modern,16,Kalmar Eternal Fest - Modern,"https://melee.gg/Tournament/View/408760",2026-02-28,Ended,Kalmar Eternal
Pauper,178,Super IPT Pauper Scream,"https://melee.gg/Tournament/View/398993",2026-01-31,Ended,Dungeon Street
Pauper,67,[Turin Sat 09:00] Path to Paupergeddon,"https://melee.gg/Tournament/View/409397",2026-03-07,Ended,Fanfinity
Pauper,48,Pimpou Pauper 2k,"https://melee.gg/Tournament/View/398682",2026-01-24,Ended,Pimpou Cards
Pauper,47,FIRST BLOOD: PAUPER EDITION ,"https://melee.gg/Tournament/View/389956",2026-01-04,Ended,Dracarys
Pauper,46,$1K Pauper - SCG CON Atlanta - Friday - 10:00 am,"https://melee.gg/Tournament/View/387523",2026-01-09,Ended,Star City Games
Pauper,42,1º Open MPL - Mont Pauper League ,"https://melee.gg/Tournament/View/404527",2026-02-28,Ended,Mont CardShop
Pauper,42,SECOND BLOOD: PAUPER EDITION ,"https://melee.gg/Tournament/View/402707",2026-03-01,Ended,Dracarys
